S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close
155,5/9/2021,339,44803,18737377,421,412,419
156,5/6/2021,359,43509,18132116,425,415,417
157,5/5/2021,354,48809,20411944,423,398,417
158,5/4/2021,342,46355,19362258,423,415,417
159,5/3/2021,456,63178,26621244,430,417,418
160,5/2/2021,490,58954,24997452,427,420,424
161,4/29/2021,331,48621,20263792,421,414,419
162,4/28/2021,411,41259,17174622,421,411,415
163,4/27/2021,620,91231,37853670,418,407,416
164,4/26/2021,614,82121,33801765,424,402,412
165,4/25/2021,574,53306,22440118,431,418,419
166,4/22/2021,451,57567,24544441,435,424,428
167,4/21/2021,460,67723,28964072,435,425,429
168,4/20/2021,495,69148,29813067,436,429,430
169,4/19/2021,448,75119,32710657,440,432,433
170,4/18/2021,499,75807,33565725,456,439,441
171,4/15/2021,606,80699,36244848,452,445,448
172,4/13/2021,589,102443,45225910,450,437,445
173,4/12/2021,451,64617,28115233,438,431,437
174,4/8/2021,335,42989,18729618,439,434,437
175,4/7/2021,281,30787,13430420,439,432,437
176,4/6/2021,393,48766,21163514,439,432,437
177,4/5/2021,318,38063,16629925,445,435,437
178,4/4/2021,456,72060,31547974,445,434,441
179,4/1/2021,472,70842,30957188,455,434,439
180,3/31/2021,666,108531,47559562,452,426,445
181,3/30/2021,243,28165,12049762,432,426,428
182,3/29/2021,280,27514,11780239,434,425,429
183,3/25/2021,379,56250,24161967,434,426,431
184,3/24/2021,369,45332,19461407,437,426,429
185,3/23/2021,290,23070,9832249,434,423,427
186,3/22/2021,281,32906,14193056,438,429,429
187,3/21/2021,330,38957,16957942,440,430,437
188,3/18/2021,319,37618,16109602,444,423,430
189,3/17/2021,240,18916,7960195,424,415,423
190,3/16/2021,307,38698,16143483,421,414,417
191,3/15/2021,281,29309,12241017,426,415,417
192,3/14/2021,471,47505,19953390,428,417,418
193,3/10/2021,365,41639,17759240,434,421,426
194,3/9/2021,354,36121,15436241,431,424,426
195,3/7/2021,487,72363,31560747,441,429,430
196,3/4/2021,467,58945,25559163,436,430,434
197,3/3/2021,461,74820,31894898,435,421,428
198,3/2/2021,634,70484,30698989,449,430,435
199,3/1/2021,617,86938,38471331,449,435,445
200,2/28/2021,696,87385,38649813,450,438,441
201,2/25/2021,330,60468,27482918,466,450,455
202,2/24/2021,341,76992,35517767,477,453,459
203,2/23/2021,399,61301,27730524,460,446,455
204,2/22/2021,411,99940,46593183,474,460,464
205,2/21/2021,551,117339,55563339,484,467,473
206,2/18/2021,601,117240,55476998,479,465,472
207,2/17/2021,501,119712,55252002,469,456,467
208,2/16/2021,559,103729,47992264,468,452,462
209,2/15/2021,313,64582,29225643,470,449,456
210,2/14/2021,295,52654,23662565,455,446,448
211,2/11/2021,315,58376,26531830,464,451,451
212,2/10/2021,231,35029,15934818,461,449,457
213,2/9/2021,321,61086,27934647,480,451,453
214,2/8/2021,533,107995,49177016,480,446,462
215,2/7/2021,324,68729,30839677,452,447,450
216,2/4/2021,343,77015,34646412,459,442,451
217,2/3/2021,533,91296,41606231,464,447,451
218,2/2/2021,316,76206,34084959,453,445,450
219,2/1/2021,277,39012,17401319,459,440,446
220,1/31/2021,441,115291,51261165,458,441,445
221,1/28/2021,500,113805,52150043,470,453,459
222,1/27/2021,404,87784,41500714,485,468,470
223,1/26/2021,931,216204,102584003,490,460,484
224,1/25/2021,592,125936,57046915,464,444,460
225,1/24/2021,420,58964,26389873,456,445,446
226,1/21/2021,277,48043,21286498,466,441,444
227,1/20/2021,260,43511,19350241,450,443,444
228,1/19/2021,280,64531,28746361,450,443,449
229,1/18/2021,291,61879,27938993,456,448,448
230,1/17/2021,249,52720,23992618,459,452,453
231,1/13/2021,246,52729,23960330,460,450,450
232,1/12/2021,198,28076,12747039,473,451,454
233,1/11/2021,293,59076,26783747,459,450,451
234,1/10/2021,432,90717,40522951,450,438,450
235,1/7/2021,214,39177,17078234,443,432,438
236,1/6/2021,183,33745,14696084,438,431,438
237,1/5/2021,156,22837,9969048,443,431,435
238,1/4/2021,229,29054,12755181,445,435,439
239,1/3/2021,293,46462,20291090,441,433,440
240,12/31/2020,314,48740,20805836,432,416,425
241,12/30/2020,272,30138,12654513,435,415,422
242,12/29/2020,557,96176,47092900,494,487,488
243,12/28/2020,214,32570,16018336,495,485,492
244,12/27/2020,239,42183,20801852,496,488,493
245,12/24/2020,371,57679,28394562,500,489,493
246,12/23/2020,415,73410,37082304,516,495,500
247,12/22/2020,462,85171,42460310,503,490,503
248,12/21/2020,579,103564,50256463,498,474,485
249,12/20/2020,645,104745,52395512,520,483,492
250,12/17/2020,445,87068,45265722,530,515,518
251,12/16/2020,379,76542,40313257,550,524,527
252,12/15/2020,581,117229,62330404,545,527,528
253,12/14/2020,1474,323130,173431323,561,527,535
254,12/13/2020,551,136826,74716586,555,538,552
255,12/10/2020,259,54470,29054862,538,526,535
256,12/9/2020,345,92328,49759882,547,534,536
257,12/8/2020,758,227923,124308225,552,530,547
258,12/7/2020,520,131127,68454221,533,510,532
259,12/6/2020,485,171129,89776794,533,516,517
260,12/3/2020,344,90643,48245313,540,528,532
261,12/2/2020,436,111361,58971652,536,520,535
262,12/1/2020,582,151300,80158031,541,516,530
263,11/30/2020,677,169861,92632843,576,535,541
264,11/29/2020,767,230701,125767798,559,524,554
265,11/26/2020,430,85540,44934889,532,520,525
266,11/25/2020,423,107865,55759638,525,511,519
267,11/24/2020,311,66020,33873311,517,510,512
268,11/23/2020,592,196565,100303247,515,506,512
269,11/22/2020,605,152315,77002047,512,495,505
270,11/19/2020,295,71429,35073486,511,489,491
271,11/18/2020,501,143816,69516294,495,470,487
272,11/12/2020,406,86382,41531034,484,475,484
273,11/11/2020,299,69277,33110205,482,472,479
274,11/10/2020,172,80125,37687124,475,468,470
275,11/9/2020,187,33751,15930716,474,468,472
276,11/8/2020,168,26833,12599399,472,468,471
277,11/5/2020,303,102758,48089830,476,462,470
278,11/4/2020,186,33667,15636972,468,462,464
279,11/3/2020,243,53871,25160965,480,465,467
280,11/2/2020,230,52560,24876753,479,469,469
281,11/1/2020,319,116363,55309956,479,468,477
282,10/29/2020,557,114747,54794941,483,471,472
283,10/28/2020,464,83397,38938338,474,456,473
284,10/22/2020,326,68836,31146580,455,450,454
285,10/21/2020,263,48986,21975287,450,443,450
286,10/20/2020,110,28155,12449165,444,441,442
287,10/19/2020,92,23791,10457528,441,436,440
288,10/18/2020,120,28101,12337613,441,437,439
289,10/15/2020,181,35904,15781376,445,437,442
290,10/14/2020,150,19883,8692172,440,436,439
291,10/13/2020,100,18523,8135690,440,438,439
292,10/12/2020,153,35458,15555436,455,436,440
293,10/11/2020,185,27787,12222562,442,438,439
294,10/8/2020,233,37815,16826499,450,442,443
295,10/7/2020,252,55530,24840967,451,444,448
296,10/6/2020,450,118829,52769434,450,439,450
297,10/5/2020,195,40920,18011356,443,438,439
298,10/4/2020,333,77867,34367444,445,440,440
299,10/1/2020,156,17254,7569999,440,435,439
300,9/30/2020,152,37898,16510704,445,434,436
301,9/29/2020,150,45801,20123201,441,437,438
302,9/28/2020,190,31645,13938606,443,439,441
303,9/27/2020,287,66164,29061694,442,433,440
304,9/24/2020,154,43273,18838499,438,431,435
305,9/23/2020,177,38716,16795793,438,430,436
306,9/22/2020,309,93124,40512495,440,431,434
307,9/21/2020,298,54729,23939779,441,432,436
308,9/20/2020,280,53218,23477474,450,435,440
309,9/17/2020,326,99827,43278327,451,428,437
310,9/16/2020,142,35281,15146381,435,426,430
311,9/15/2020,224,36125,15643116,440,429,433
312,9/14/2020,343,66323,28833011,439,429,435
313,9/13/2020,206,40426,17276363,429,425,429
314,9/10/2020,166,30653,13042745,444,422,425
315,9/9/2020,167,30486,12838279,443,418,423
316,9/8/2020,146,18591,7821382,424,417,422
317,9/7/2020,200,30894,13097838,429,422,424
318,9/6/2020,299,51535,22416879,447,429,429
319,9/3/2020,249,54999,23870722,438,430,432
320,9/2/2020,406,108553,47330139,440,432,436
321,8/31/2020,242,40437,17259504,431,423,429
322,8/30/2020,139,20137,8538916,446,421,424
323,8/27/2020,145,30360,12934989,430,425,425
324,8/26/2020,241,39150,16636041,429,420,426
325,8/25/2020,197,39774,16763494,427,419,421
326,8/24/2020,231,30112,12593335,420,415,420
327,8/23/2020,84,8109,3340366,419,411,414
328,8/20/2020,63,8351,3426715,412,406,412
329,8/19/2020,168,25812,10604297,415,408,409
330,8/18/2020,118,16446,6833721,418,411,417
331,8/17/2020,146,20840,8552541,415,406,415
332,8/16/2020,199,34679,14255478,416,405,410
333,8/13/2020,132,27971,11636379,425,414,415
334,8/12/2020,106,25454,10678938,422,414,419
335,8/11/2020,143,26345,11098187,427,418,419
336,8/10/2020,201,30437,12802718,432,413,425
337,8/9/2020,162,33276,13555825,412,399,412
338,8/6/2020,185,33954,13697184,408,401,406
339,8/5/2020,202,37294,15120480,419,402,404
340,8/3/2020,179,26260,10785469,418,405,411
341,8/2/2020,367,64556,26822481,422,406,406
342,7/30/2020,161,34944,14753134,429,415,427
343,7/29/2020,221,61718,26266840,432,421,422
344,7/28/2020,151,30474,13174150,435,428,432
345,7/27/2020,222,52250,22780805,440,430,433
346,7/26/2020,259,60056,26005338,436,422,434
347,7/23/2020,206,33121,14073464,430,418,428
348,7/22/2020,263,55050,23499388,445,420,426
349,7/21/2020,382,70227,30578724,446,427,431
350,7/20/2020,717,152858,68092921,475,424,442
351,7/19/2020,5,90,37840,432,408,432
352,7/16/2020,262,49834,19851056,405,389,400
353,7/15/2020,177,34899,13356317,388,376,385
354,7/14/2020,68,9391,3518686,378,372,375
355,7/13/2020,129,38001,14255102,382,373,375
356,7/12/2020,114,20839,7743924,377,368,375
357,7/9/2020,94,10849,3992157,371,360,368
358,7/8/2020,122,15958,5884211,375,362,368
359,7/7/2020,153,16559,6193253,379,367,374
360,7/6/2020,101,25485,9168079,368,349,365
361,7/5/2020,165,29844,10573328,365,345,356
362,7/2/2020,78,13518,4961644,394,343,345
363,7/1/2020,53,16073,6031916,384,350,380
364,6/30/2020,33,4499,1531567,352,320,350
365,6/29/2020,96,12955,4203324,341,313,329
366,5/13/2020,6,240,83430,350,347,347
367,5/12/2020,6,470,168590,361,357,357
368,3/22/2020,35,5639,2049363,376,362,368
369,3/19/2020,214,34900,12872297,385,360,376
370,3/18/2020,211,54659,20168668,385,361,374
371,3/17/2020,219,45920,17239532,380,370,378
372,3/16/2020,173,34352,13129517,391,371,382
373,3/15/2020,316,67992,26126277,394,378,382
374,3/12/2020,308,66328,26206574,410,390,397
375,3/11/2020,280,73399,29189227,407,378,406
376,3/10/2020,149,44333,17141923,397,380,380
377,3/5/2020,233,51446,20980918,416,400,405
378,3/4/2020,254,59890,24900666,425,410,416
379,3/3/2020,385,83824,35385793,445,390,425
380,3/2/2020,216,52575,23091367,452,420,420
381,3/1/2020,373,86815,40061842,475,450,452
382,2/27/2020,382,110009,50225106,474,440,467
383,2/26/2020,358,88846,39626514,453,437,453
384,2/25/2020,164,48731,20960026,436,416,435
385,2/24/2020,354,104982,45685687,450,425,432
386,2/23/2020,447,130275,54549671,436,402,431
387,2/20/2020,111,25763,10261284,400,395,398
388,2/19/2020,72,17687,7020931,404,394,397
389,2/18/2020,176,42822,17077245,408,395,398
390,2/17/2020,201,42746,16881808,401,390,396
391,2/16/2020,112,29836,11495363,390,383,390
392,2/13/2020,103,20972,8056938,388,380,384
393,2/12/2020,123,34048,13187956,392,383,388
394,2/11/2020,68,13972,5372893,390,382,385
395,2/10/2020,80,14196,5392970,385,377,380
396,2/9/2020,54,11030,4203898,384,380,381
397,2/6/2020,74,11711,4498341,390,382,385
398,2/5/2020,68,12291,4724019,390,382,385
399,2/4/2020,166,32960,12843675,396,385,386
400,2/3/2020,88,22861,8942881,395,388,388
401,2/2/2020,153,25714,9961174,392,383,390
402,1/30/2020,75,10082,3881197,388,383,384
403,1/29/2020,62,8241,3167261,387,379,384
404,1/28/2020,73,14063,5426067,389,380,386
405,1/27/2020,100,23768,8983346,387,368,387
406,1/26/2020,141,18472,6973842,384,372,372
407,1/23/2020,79,11817,4525230,390,380,382
408,1/22/2020,68,13717,5283816,395,383,386
409,1/21/2020,95,20945,8165334,397,385,389
410,1/20/2020,223,50503,20032538,407,386,389
411,1/19/2020,143,37203,14701779,398,392,396
412,1/16/2020,113,30689,12019646,398,386,391
413,1/15/2020,102,22021,8444325,386,378,386
414,1/14/2020,79,11083,4188931,380,375,378
415,1/13/2020,154,39441,14944718,382,374,379
416,1/12/2020,95,17268,6383867,373,366,372
417,1/9/2020,95,11059,4034153,369,363,365
418,1/8/2020,71,10093,3736193,373,369,369
419,1/7/2020,70,9507,3548794,376,370,373
420,1/6/2020,107,26892,9911798,372,365,371
421,1/5/2020,61,11390,4128436,364,360,363
422,1/2/2020,67,6793,2451873,368,359,359
423,1/1/2020,56,7109,2563497,367,359,367
424,12/31/2019,63,8569,3116675,366,361,366
425,12/30/2019,75,8211,2990119,369,361,365
426,12/29/2019,144,20987,7732644,386,366,370
427,12/26/2019,305,103337,42860821,417,413,417
428,12/25/2019,140,31149,12870441,415,412,414
429,12/24/2019,100,19873,8215515,416,412,413
430,12/23/2019,100,20783,8553060,414,407,412
431,12/22/2019,98,13018,5365096,414,407,412
432,12/19/2019,63,5118,2069300,407,403,404
433,12/18/2019,60,9668,3924288,410,405,406
434,12/17/2019,62,6407,2614923,410,405,407
435,12/16/2019,81,9861,4023567,415,406,406
436,12/15/2019,81,14825,6113167,416,409,410
437,12/12/2019,104,21051,8651874,415,409,412
438,12/11/2019,95,13042,5425088,418,414,414
439,12/10/2019,288,67690,27991687,418,406,415
440,12/9/2019,69,10680,4366673,415,404,411
441,12/8/2019,43,6252,2533350,409,403,409
442,12/5/2019,50,6589,2668532,407,403,405
443,12/4/2019,56,11388,4598818,406,401,405
444,12/3/2019,45,6534,2626827,403,401,401
445,12/2/2019,53,17229,6915001,405,400,403
446,12/1/2019,34,5892,2378496,405,402,404
447,11/28/2019,35,5609,2273029,409,404,404
448,11/27/2019,35,5247,2134304,409,403,409
449,11/26/2019,51,11131,4527014,410,402,405
450,11/25/2019,51,5669,2300207,412,404,409
451,11/24/2019,86,14677,5970416,410,404,404
452,11/21/2019,61,9107,3750461,418,408,412
453,11/20/2019,52,12638,5262075,418,415,416
454,11/19/2019,56,21222,8812035,420,415,416
455,11/18/2019,69,52113,21663469,418,415,418
456,11/17/2019,61,11182,4636886,423,410,415
457,11/14/2019,40,18775,7799457,417,415,417
458,11/13/2019,59,23563,9781256,417,413,416
459,11/12/2019,54,12550,5243574,425,414,417
460,11/11/2019,36,3581,1494243,421,414,421
461,11/10/2019,60,11958,4968204,419,410,419
462,11/7/2019,45,18305,7596806,417,414,415
463,11/6/2019,49,16754,6966192,417,415,415
